日期,单品编码,单品名称,分类名称,销量(千克),销售单价(元/千克),销售类型,是否打折销售,批发价格(元/千克),损耗率_单品
2022-07-31,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.54,9.43
2022-07-31,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.54,9.43
2022-08-01,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.52,9.43
2022-08-01,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.52,9.43
2022-08-01,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.52,9.43
2022-08-01,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.52,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-02,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.44,9.43
2022-08-03,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-03,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-03,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.44,9.43
2022-08-03,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.44,9.43
2022-08-03,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.44,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-04,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.7,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.65,9.43
2022-08-05,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.65,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-06,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.44,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-07,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-08,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.27,9.43
2022-08-09,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.27,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-10,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.34,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.55,9.43
2022-08-11,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.55,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-12,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.48,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-13,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.24,9.43
2022-08-14,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.0,9.43
2022-08-14,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.0,9.43
2022-08-14,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.0,9.43
2022-08-14,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.0,9.43
2022-08-14,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.0,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-15,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.17,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-16,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.2,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,2.3,销售,是,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,2.7,销售,是,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,2.7,销售,是,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,2.7,销售,是,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-17,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.31,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,2.7,销售,是,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,2.7,销售,是,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,2.7,销售,是,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,2.0,销售,是,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
2022-08-18,102900011032237,青线椒(份),辣椒类,1.0,3.9,销售,否,1.35,9.43
